uid,client_name,client_ip,sender_ip,client_timestamp,client_lat,client_long,event_type
59693,pidrive,0.0.0.0,192.168.1.23,1402843544,40.636115,-89.476924,2
59694,pidrive,0.0.0.0,192.168.1.23,1402843544,40.636115,-89.476924,3
58846,pidrive,192.168.1.65,,1402843546,40.636268,-89.476910,4
59695,pidrive,,,1402843546,40.636268,-89.476910,0
59696,pidrive,0.0.0.0,192.168.1.23,1402843546,40.636268,-89.476910,1
59697,pidrive,0.0.0.0,192.168.1.23,1402843546,40.636268,-89.476910,2
59698,pidrive,0.0.0.0,192.168.1.23,1402843546,40.636268,-89.476910,3
58847,pidrive,192.168.1.65,,1402843547,40.636339,-89.476910,4
59699,pidrive,,,1402843547,40.636339,-89.476910,0
59701,pidrive,0.0.0.0,192.168.1.23,1402843547,40.636339,-89.476910,1
59702,pidrive,0.0.0.0,192.168.1.23,1402843547,40.636339,-89.476910,2
59703,pidrive,0.0.0.0,192.168.1.23,1402843547,40.636339,-89.476910,3
59704,pidrive,,,1402843547,40.636339,-89.476910,0
58848,pidrive,192.168.1.65,,1402843548,40.636415,-89.476909,4
59705,pidrive,0.0.0.0,192.168.1.23,1402843548,40.636415,-89.476909,1
59706,pidrive,0.0.0.0,192.168.1.23,1402843548,40.636415,-89.476909,2
59707,pidrive,0.0.0.0,192.168.1.23,1402843548,40.636415,-89.476909,3
58849,pidrive,192.168.1.65,,1402843549,40.636491,-89.476909,4
59708,pidrive,,,1402843549,40.636491,-89.476909,0
59709,pidrive,0.0.0.0,192.168.1.23,1402843549,40.636491,-89.476909,1
59710,pidrive,0.0.0.0,192.168.1.23,1402843549,40.636491,-89.476909,2
59711,pidrive,0.0.0.0,192.168.1.23,1402843549,40.636491,-89.476909,3
58850,pidrive,192.168.1.65,,1402843550,40.636568,-89.476908,4
59712,pidrive,,,1402843550,40.636568,-89.476908,0
59713,pidrive,0.0.0.0,192.168.1.23,1402843550,40.636568,-89.476908,1
59714,pidrive,0.0.0.0,192.168.1.23,1402843550,40.636568,-89.476908,2
59715,pidrive,0.0.0.0,192.168.1.23,1402843550,40.636568,-89.476908,3
59716,pidrive,,,1402843550,40.636568,-89.476908,0
58851,pidrive,192.168.1.65,,1402843551,40.636651,-89.476907,4
59717,pidrive,0.0.0.0,192.168.1.23,1402843551,40.636651,-89.476907,1
59718,pidrive,0.0.0.0,192.168.1.23,1402843551,40.636651,-89.476907,2
59719,pidrive,0.0.0.0,192.168.1.23,1402843551,40.636651,-89.476907,3
58852,pidrive,192.168.1.65,,1402843552,40.636722,-89.476907,4
59720,pidrive,,,1402843552,40.636722,-89.476907,0
59721,pidrive,0.0.0.0,192.168.1.23,1402843552,40.636722,-89.476907,1
59722,pidrive,0.0.0.0,192.168.1.23,1402843552,40.636722,-89.476907,2
59723,pidrive,0.0.0.0,192.168.1.23,1402843552,40.636722,-89.476907,3
58853,pidrive,192.168.1.65,,1402843553,40.636805,-89.476918,4
59724,pidrive,,,1402843553,40.636805,-89.476918,0
59725,pidrive,0.0.0.0,192.168.1.23,1402843553,40.636805,-89.476918,1
59726,pidrive,0.0.0.0,192.168.1.23,1402843553,40.636805,-89.476918,2
59727,pidrive,0.0.0.0,192.168.1.23,1402843553,40.636805,-89.476918,3
59728,pidrive,,,1402843553,40.636805,-89.476918,0
58854,pidrive,192.168.1.65,,1402843554,40.636882,-89.476918,4
59729,pidrive,0.0.0.0,192.168.1.23,1402843554,40.636882,-89.476918,1
59730,pidrive,0.0.0.0,192.168.1.23,1402843554,40.636882,-89.476918,2
59731,pidrive,0.0.0.0,192.168.1.23,1402843554,40.636882,-89.476918,3
58855,pidrive,192.168.1.65,,1402843555,40.636958,-89.476917,4
